Sensor;Sens. Typ;Location;Cont. Typ;Farbe
70B3D500700016DA;Senseno Ultrasonic;An den Roethen 53;Glas (3 Kammern);white
70B3D500700016DE;Senseno Ultrasonic;Hungener Str. 6;Glas (3 Kammern);brown
70B3D500700016DF;Senseno Ultrasonic;Standort unbekannt;Glas (3 Kammern);white
70B3D500700016E0;Senseno Ultrasonic;Gronauer Str. 39;Glas (3 Kammern);green
70B3D500700016E5;Senseno Ultrasonic;Wetteraustr. 1;Glas (3 Kammern);green
70B3D500700016E6;Senseno Ultrasonic;An den Roethen 6;Glas (3 Kammern);brown
70B3D500700016E7;Senseno Ultrasonic;Gronauer Str. 39;Glas (3 Kammern);green
70B3D500700016EB;Senseno Ultrasonic;Rotlintstr. 52;Glas (3 Kammern);brown
70B3D500700016EE;Senseno Ultrasonic;Seckbacher Landstr.35;Glas (3 Kammern);green
70B3D500700016F1;Senseno Ultrasonic;Weidenborn Strasse 40;Glas (3 Kammern);green
70B3D500700016F2;Senseno Ultrasonic;Seckbacher Landstr. 55;Glas (3 Kammern);brown
70B3D500700016F4;Senseno Ultrasonic;Am Hennsee 18;Glas (3 Kammern);white
70B3D500700016F6;Senseno Ultrasonic;Comeniusstr. 2;Glas (3 Kammern);white
70B3D500700016F7;Senseno Ultrasonic;Konstanzer Strasse 1;Glas (3 Kammern);green
70B3D500700016FA;Senseno Ultrasonic;Konstanzer Strasse 1;Glas (3 Kammern);white
70B3D500700016FC;Senseno Ultrasonic;Hungener Str. 6;Glas (3 Kammern);green
70B3D50070001700;Senseno Ultrasonic;Weidenborn Strasse 40;Glas (3 Kammern);brown
70B3D50070001701;Senseno Ultrasonic;Walter-Hesselbach-Straﬂe 210;Glas (3 Kammern);brown
70B3D50070001704;Senseno Ultrasonic;Bodenseestrasse 39;Glas (3 Kammern);green
70B3D50070001706;Senseno Ultrasonic;Bregenzer Strasse 17;Glas (3 Kammern);white
70B3D50070001708;Senseno Ultrasonic;Gabelsbergerstrasse 2;Glas (3 Kammern);brown
70B3D50070001709;Senseno Ultrasonic;Ilbenstaedter Str. 29;Glas (3 Kammern);white
70B3D5007000170F;Senseno Ultrasonic;An den Roethen 37;Glas (3 Kammern);white
70B3D50070001710;Senseno Ultrasonic;Ilbenstaedter Str. 29;Glas (3 Kammern);green
70B3D50070001712;Senseno Ultrasonic;Rendeler Str. 8-12;Glas (3 Kammern);white
70B3D50070001713;Senseno Ultrasonic;Rendeler Str. 8-12;Glas (3 Kammern);brown
70B3D50070001714;Senseno Ultrasonic;Standort unbekannt;Glas (3 Kammern);brown
70B3D50070001715;Senseno Ultrasonic;Gabelsbergerstrasse 2;Glas (3 Kammern);white
70B3D50070001716;Senseno Ultrasonic;An den Roethen 6;Glas (3 Kammern);green
70B3D5007000171A;Senseno Ultrasonic;Muenzenberger Str.2;Glas (3 Kammern);white
70B3D5007000171E;Senseno Ultrasonic;Comeniusstr. 2;Glas (3 Kammern);green
70B3D5007000171F;Senseno Ultrasonic;Usinger Str. 5;Glas (3 Kammern);brown
70B3D50070001722;Senseno Ultrasonic;Ilbenstaedter Str. 29;Glas (3 Kammern);brown
70B3D50070001724;Senseno Ultrasonic;Comeniusstr. 2;Glas (3 Kammern);green
70B3D50070001725;Senseno Ultrasonic;Bodenseestrasse 39;Glas (3 Kammern);green
70B3D50070001726;Senseno Ultrasonic;Usinger Str. 5;Glas (3 Kammern);green
70B3D50070001727;Senseno Ultrasonic;Usinger Str. 5;Glas (3 Kammern);brown
70B3D5007000172B;Senseno Ultrasonic;An den Roethen 37;Glas (3 Kammern);brown
70B3D5007000172C;Senseno Ultrasonic;Muenzenberger Str.2;Glas (3 Kammern);brown
70B3D5007000172D;Senseno Ultrasonic;Gabelsbergerstrasse 2;Glas (3 Kammern);brown
70B3D5007000172E;Senseno Ultrasonic;An den Roethen 6;Glas (3 Kammern);white
70B3D50070001730;Senseno Ultrasonic;Seckbacher Landstr. 55;Glas (3 Kammern);white
70B3D50070001731;Senseno Ultrasonic;Saalburgallee 7-9;Glas (3 Kammern);brown
70B3D50070001733;Senseno Ultrasonic;Baumertstrasse 86;Glas (3 Kammern);white
70B3D50070001734;Senseno Ultrasonic;Muenzenberger Str.2;Glas (3 Kammern);green
70B3D50070001736;Senseno Ultrasonic;Standort unbekannt;Glas (3 Kammern);green
70B3D50070001737;Senseno Ultrasonic;Gabelsbergerstrasse 2;Glas (3 Kammern);green
70B3D50070001738;Senseno Ultrasonic;Bodenseestrasse 39;Glas (3 Kammern);white
70B3D50070001739;Senseno Ultrasonic;Comeniusstr. 2;Glas (3 Kammern);white
70B3D5007000173A;Senseno Ultrasonic;Gronauer Str. 39;Glas (3 Kammern);brown
70B3D5007000173C;Senseno Ultrasonic;Saalburgallee 7-9;Glas (3 Kammern);green
70B3D5007000173E;Senseno Ultrasonic;Saalburgallee 2;Glas (3 Kammern);white
70B3D50070001740;Senseno Ultrasonic;Comeniusstr. 2;Glas (3 Kammern);brown
70B3D50070001742;Senseno Ultrasonic;An den Roethen 53;Glas (3 Kammern);green
70B3D50070001743;Senseno Ultrasonic;Hungener Str. 6;Glas (3 Kammern);white
70B3D50070001747;Senseno Ultrasonic;Wetteraustr. 1;Glas (3 Kammern);white
70B3D5007000174D;Senseno Ultrasonic;Am Hennsee 18;Glas (3 Kammern);green
70B3D5007000174F;Senseno Ultrasonic;Usinger Str. 5;Glas (3 Kammern);white
70B3D50070001750;Senseno Ultrasonic;Weidenborn Strasse 40;Glas (3 Kammern);white
70B3D50070001759;Senseno Ultrasonic;Seckbacher Landstr. 55;Glas (3 Kammern);green
70B3D5007000175A;Senseno Ultrasonic;Bodenseestrasse 39;Glas (3 Kammern);white
70B3D5007000175E;Senseno Ultrasonic;An den Roethen 53;Glas (3 Kammern);brown
70B3D50070001764;Senseno Ultrasonic;Seckbacher Landstr.74;Glas (3 Kammern);brown
70B3D50070001766;Senseno Ultrasonic;Seckbacher Landstr.35;Glas (3 Kammern);white
70B3D50070001770;Senseno Ultrasonic;Baumertstrasse 86;Glas (3 Kammern);brown
70B3D50070001772;Senseno Ultrasonic;Gabelsbergerstrasse 2;Glas (3 Kammern);white
70B3D50070001774;Senseno Ultrasonic;Standort unbekannt;Glas (3 Kammern);white
70B3D50070001777;Senseno Ultrasonic;Usinger Str. 5;Glas (3 Kammern);white
70B3D50070001779;Senseno Ultrasonic;Hartmann-Ibach-Str.107;Glas (3 Kammern);brown
70B3D5007000177C;Senseno Ultrasonic;Baumertstrasse 86;Glas (3 Kammern);green
70B3D50070001780;Senseno Ultrasonic;Saalburgallee 2;Glas (3 Kammern);brown
70B3D50070001781;Senseno Ultrasonic;Gronauer Str. 39;Glas (3 Kammern);white
70B3D50070001782;Senseno Ultrasonic;Gronauer Str. 39;Glas (3 Kammern);brown
70B3D50070001786;Senseno Ultrasonic;Wetteraustr. 1;Glas (3 Kammern);brown
70B3D50070001787;Senseno Ultrasonic;Seckbacher Landstr.74;Glas (3 Kammern);green
70B3D50070001788;Senseno Ultrasonic;Walter-Hesselbach-Straﬂe 210;Glas (3 Kammern);green
70B3D50070001789;Senseno Ultrasonic;Gabelsbergerstrasse 2;Glas (3 Kammern);green
